Fund Name,Country,Region,aum $bn,aum_date,type,quintile,inception,latitude,longitude,"Leader, Finalist, Other",Disclosure 1A - Organization,Disclosure 1B - Financials,Intention 2A - RI Statement,Intention 2B - Downloadable Report,Clarity 3A - Objectives for RI,Clarity 3B - Strategies for RI,Integration 4A -Integrating ESG,Integration 4B -Methodology,Implementation 5A - Examples of RI,Implementation 5B - Measuring RI,"Commitment 6A - Staff, Resources",Commitment 6B - Socializing RI,Accountability 7A - Financial Returns,Accountability 7B - ESG Returns,Partnership 8A - RI Partners,Partnership 8B - RI Leadership,Standards 9A -Uniform Standards,Standards 9B - External Managers,Development 10A - Referencing SDGs,Development 10B - Frontier Markets
Abu Dhabi Investment Authority,UAE,MENA,828,2017,SWF,3,1976,24.46011,54.32073,Other Rated Fund,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Pass
Abu Dhabi Investment Council,UAE,MENA,110,2017,SWF,4,2007,24.463327,54.388233,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass
Alabama Retirement Systems,USA,North America,42,2017,GPF,5,1945,32.37482,-86.29896,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Alabama Trust Fund,USA,North America,3,2017,SWF,5,1985,32.378387,-86.302966,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Alaska Permanent Fund,USA,North America,61,2017,SWF,3,1976,58.300703,-134.411838,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Pass
Alaska Retirement Management Board,USA,North America,26,2018,GPF,4,1945,58.29971,-134.41634,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Alberta Investment Management Corp. AIMco,Canada,North America,96,2017,SWF,1,2008,53.541086,-113.507377,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Alberta Teachers’ Retirement Fund,Canada,North America,15,2017,GPF,3,1939,53.55754,-113.56642,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Fail,Fail
AP Funds,Sweden,Europe,177,2017,GPF,1,1960,59.294271,18.070458,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
APG Groep,Netherlands,Europe,565,2017,GPF,1,1922,50.881653,5.975269,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
